Filenames,Depths,White percents
/Users/gracelee/Documents/computational BME/horn_lee_Module-3-Fibrosis/6 images/MASK_SK658 Slobe ch010089.jpg,10000,8.81803035736084
/Users/gracelee/Documents/computational BME/horn_lee_Module-3-Fibrosis/6 images/MASK_SK658 Slobe ch010092.jpg,10000,7.841372489929199
/Users/gracelee/Documents/computational BME/horn_lee_Module-3-Fibrosis/6 images/MASK_SK658 Slobe ch010098.jpg,10000,9.142851829528809
/Users/gracelee/Documents/computational BME/horn_lee_Module-3-Fibrosis/6 images/MASK_SK658 Slobe ch010105.jpg,8100,3.2827377319335938
/Users/gracelee/Documents/computational BME/horn_lee_Module-3-Fibrosis/6 images/MASK_SK658 Slobe ch010114.jpg,9900,5.777835845947266
/Users/gracelee/Documents/computational BME/horn_lee_Module-3-Fibrosis/6 images/MASK_SK658 Slobe ch010118.jpg,9900,5.657410621643066
/Users/gracelee/Documents/computational BME/horn_lee_Module-3-Fibrosis/images/MASK_SK658 Slobe ch010093.jpg,9300,4.027652740478516
/Users/gracelee/Documents/computational BME/horn_lee_Module-3-Fibrosis/images/MASK_SK658 Slobe ch010066.jpg,1000,1.4475584030151367
/Users/gracelee/Documents/computational BME/horn_lee_Module-3-Fibrosis/images/MASK_SK658 Slobe ch010110.jpg,5300,2.289104461669922
/Users/gracelee/Documents/computational BME/horn_lee_Module-3-Fibrosis/images/MASK_SK658 Slobe ch010111.jpg,8600,3.5895347595214844
